"Month","Actual","Predicted","Lower_95","Upper_95"
2018-08-01,713360.85,737179.097507617,648385.932643616,825972.262371618
2018-09-01,739834.319248826,757097.740440452,668160.475489242,846035.005391662
2018-10-01,732847.113207547,748444.890506074,653300.719249744,843589.061762403
2018-11-01,733213.016736402,794711.056491601,684053.566309188,905368.546674014
2018-12-01,739387.214285714,758706.456785043,647881.041736817,869531.871833268
2019-01-01,695679.166666667,721139.063344578,601917.345494948,840360.781194208
2019-02-01,711578,768111.957772338,642921.521818664,893302.393726011
2019-03-01,729635.593220339,767448.288888856,640890.199921039,894006.377856674
2019-04-01,743605.694267516,767037.804899404,633301.803759725,900773.806039083
2019-05-01,707236.011904762,768911.164862044,631742.331047919,906079.99867617
2019-06-01,777167.525773196,754181.948597947,614345.031010974,894018.86618492
2019-07-01,652604.879120879,765620.50275432,620356.772785234,910884.232723407
